Started training file with epochs: 20, batch_size: 10, lambda_1: 0.5, lambda_2: 0.5, alfa: 0.5, beta: 0.5, beta_1: 0.5, beta_2: 0.99, learning_rate: 0.001
Epoch: 1 | D: loss 0.35913655161857605 | G: loss 743.8107299804688
Epoch: 2 | D: loss 0.3746125102043152 | G: loss 581.2011108398438
Epoch: 3 | D: loss 0.1011509820818901 | G: loss 200.25906372070312
Epoch: 4 | D: loss 0.028157779946923256 | G: loss 4.589241027832031
Epoch: 5 | D: loss 0.031795866787433624 | G: loss 1.0962449312210083
Epoch: 6 | D: loss 0.018967464566230774 | G: loss 1.001535415649414
Epoch: 7 | D: loss 0.010561145842075348 | G: loss 0.9539157748222351
Epoch: 8 | D: loss 0.005231134127825499 | G: loss 0.9840098023414612
Epoch: 9 | D: loss 0.0029336255975067616 | G: loss 0.9184859395027161
Epoch: 10 | D: loss 0.002058860845863819 | G: loss 0.9307133555412292
Epoch: 11 | D: loss 0.001983925001695752 | G: loss 0.9361310601234436
Epoch: 12 | D: loss 0.001912349951453507 | G: loss 0.895691454410553
Epoch: 13 | D: loss 0.0020194787066429853 | G: loss 0.9008933305740356
Epoch: 14 | D: loss 0.0020031663589179516 | G: loss 0.8874430060386658
Epoch: 15 | D: loss 0.00208729924634099 | G: loss 0.8775936961174011
Epoch: 16 | D: loss 0.0021090558730065823 | G: loss 0.8710349798202515
Epoch: 17 | D: loss 0.0021402440033853054 | G: loss 0.8442974090576172
Epoch: 18 | D: loss 0.00219547632150352 | G: loss 0.8792192339897156
Epoch: 19 | D: loss 0.0022130568977445364 | G: loss 0.8164470791816711
Epoch: 20 | D: loss 0.0021691718138754368 | G: loss 0.8447154760360718
